"Subject"	"Activity"	"variable"	"value"
24	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.288631208909091
1	"SITTING"	"timeBodyAccmeanX"	0.261237565425532
3	"SITTING"	"timeBodyAccmeanX"	0.257197599134615
5	"SITTING"	"timeBodyAccmeanX"	0.273694139545455
6	"SITTING"	"timeBodyAccmeanX"	0.276778487454545
7	"SITTING"	"timeBodyAccmeanX"	0.284674637291667
8	"SITTING"	"timeBodyAccmeanX"	0.267491472934783
11	"SITTING"	"timeBodyAccmeanX"	0.276590197358491
14	"SITTING"	"timeBodyAccmeanX"	0.279990577037037
15	"SITTING"	"timeBodyAccmeanX"	0.27290337979661
16	"SITTING"	"timeBodyAccmeanX"	0.280768574492754
17	"SITTING"	"timeBodyAccmeanX"	0.2773570196875
19	"SITTING"	"timeBodyAccmeanX"	0.273830316164384
21	"SITTING"	"timeBodyAccmeanX"	0.277539616823529
22	"SITTING"	"timeBodyAccmeanX"	0.273583822709677
23	"SITTING"	"timeBodyAccmeanX"	0.273351251617647
25	"SITTING"	"timeBodyAccmeanX"	0.278541482461538
26	"SITTING"	"timeBodyAccmeanX"	0.258243530166667
27	"SITTING"	"timeBodyAccmeanX"	0.273941302571429
28	"SITTING"	"timeBodyAccmeanX"	0.276977629444444
29	"SITTING"	"timeBodyAccmeanX"	0.2771799775
30	"SITTING"	"timeBodyAccmeanX"	0.268336081379032
2	"SITTING"	"timeBodyAccmeanX"	0.27708735173913
4	"SITTING"	"timeBodyAccmeanX"	0.27153827992
9	"SITTING"	"timeBodyAccmeanX"	0.24832674354
10	"SITTING"	"timeBodyAccmeanX"	0.270612056481481
12	"SITTING"	"timeBodyAccmeanX"	0.275007224901961
13	"SITTING"	"timeBodyAccmeanX"	0.274328499591837
18	"SITTING"	"timeBodyAccmeanX"	0.27727001877193
20	"SITTING"	"timeBodyAccmeanX"	0.278045439090909
24	"SITTING"	"timeBodyAccmeanX"	0.273475690147059
1	"STANDING"	"timeBodyAccmeanX"	0.278917629056604
3	"STANDING"	"timeBodyAccmeanX"	0.280046513278689
5	"STANDING"	"timeBodyAccmeanX"	0.282544390892857
6	"STANDING"	"timeBodyAccmeanX"	0.280346248596491
7	"STANDING"	"timeBodyAccmeanX"	0.282723539433962
8	"STANDING"	"timeBodyAccmeanX"	0.279620986111111
11	"STANDING"	"timeBodyAccmeanX"	0.277715562765957
14	"STANDING"	"timeBodyAccmeanX"	0.280545613833333
15	"STANDING"	"timeBodyAccmeanX"	0.278915803962264
16	"STANDING"	"timeBodyAccmeanX"	0.283497402948718
17	"STANDING"	"timeBodyAccmeanX"	0.277942503333333
19	"STANDING"	"timeBodyAccmeanX"	0.27817226
21	"STANDING"	"timeBodyAccmeanX"	0.27695224258427
22	"STANDING"	"timeBodyAccmeanX"	0.279053861587302
23	"STANDING"	"timeBodyAccmeanX"	0.277899323235294
25	"STANDING"	"timeBodyAccmeanX"	0.278013701621622
26	"STANDING"	"timeBodyAccmeanX"	0.281127035405405
27	"STANDING"	"timeBodyAccmeanX"	0.279566921625
28	"STANDING"	"timeBodyAccmeanX"	0.277795069113924
29	"STANDING"	"timeBodyAccmeanX"	0.277965065846154
30	"STANDING"	"timeBodyAccmeanX"	0.277112699152542
2	"STANDING"	"timeBodyAccmeanX"	0.277911472222222
4	"STANDING"	"timeBodyAccmeanX"	0.280499745892857
9	"STANDING"	"timeBodyAccmeanX"	0.282310057333333
10	"STANDING"	"timeBodyAccmeanX"	0.276650300681818
12	"STANDING"	"timeBodyAccmeanX"	0.277405834918033
13	"STANDING"	"timeBodyAccmeanX"	0.277758431052632
18	"STANDING"	"timeBodyAccmeanX"	0.278458805890411
20	"STANDING"	"timeBodyAccmeanX"	0.278076904657534
24	"STANDING"	"timeBodyAccmeanX"	0.280348883913043
1	"LAYING"	"timeBodyAccmeanX"	0.22159824394
3	"LAYING"	"timeBodyAccmeanX"	0.275516852741935
5	"LAYING"	"timeBodyAccmeanX"	0.278334325576923
6	"LAYING"	"timeBodyAccmeanX"	0.248656520140351
7	"LAYING"	"timeBodyAccmeanX"	0.250176694038462
8	"LAYING"	"timeBodyAccmeanX"	0.261254282907407
11	"LAYING"	"timeBodyAccmeanX"	0.280592970877193
14	"LAYING"	"timeBodyAccmeanX"	0.233275439803922
15	"LAYING"	"timeBodyAccmeanX"	0.2894756525
16	"LAYING"	"timeBodyAccmeanX"	0.274227162571429
17	"LAYING"	"timeBodyAccmeanX"	0.269780085577465
19	"LAYING"	"timeBodyAccmeanX"	0.272653733493976
21	"LAYING"	"timeBodyAccmeanX"	0.271325472455556
22	"LAYING"	"timeBodyAccmeanX"	0.279959721194444
23	"LAYING"	"timeBodyAccmeanX"	0.274038007986111
25	"LAYING"	"timeBodyAccmeanX"	0.250791828613699
26	"LAYING"	"timeBodyAccmeanX"	0.271645864540789
27	"LAYING"	"timeBodyAccmeanX"	0.274102492432432
28	"LAYING"	"timeBodyAccmeanX"	0.2759134825
29	"LAYING"	"timeBodyAccmeanX"	0.287295196811594
30	"LAYING"	"timeBodyAccmeanX"	0.281033900571429
2	"LAYING"	"timeBodyAccmeanX"	0.281373403958333
4	"LAYING"	"timeBodyAccmeanX"	0.263559214981481
9	"LAYING"	"timeBodyAccmeanX"	0.2591955368
10	"LAYING"	"timeBodyAccmeanX"	0.280230574137931
12	"LAYING"	"timeBodyAccmeanX"	0.260113433
13	"LAYING"	"timeBodyAccmeanX"	0.276716360483871
18	"LAYING"	"timeBodyAccmeanX"	0.274691576923077
20	"LAYING"	"timeBodyAccmeanX"	0.239507882205882
24	"LAYING"	"timeBodyAccmeanX"	0.272850494930556
1	"WALKING"	"timeBodyAccmeanY"	-0.0173838185273684
3	"WALKING"	"timeBodyAccmeanY"	-0.0171767844203448
5	"WALKING"	"timeBodyAccmeanY"	-0.0172850317482679
6	"WALKING"	"timeBodyAccmeanY"	-0.0168954189082456
7	"WALKING"	"timeBodyAccmeanY"	-0.018653665345614
8	"WALKING"	"timeBodyAccmeanY"	-0.0186628865310417
11	"WALKING"	"timeBodyAccmeanY"	-0.0166475833623729
14	"WALKING"	"timeBodyAccmeanY"	-0.0217785380966102
15	"WALKING"	"timeBodyAccmeanY"	-0.0170809740090741
16	"WALKING"	"timeBodyAccmeanY"	-0.0204286929452941
17	"WALKING"	"timeBodyAccmeanY"	-0.0184875403339344
19	"WALKING"	"timeBodyAccmeanY"	-0.0191773587903846
21	"WALKING"	"timeBodyAccmeanY"	-0.0181610317526923
22	"WALKING"	"timeBodyAccmeanY"	-0.0167213607957174
23	"WALKING"	"timeBodyAccmeanY"	-0.0183618711932203
25	"WALKING"	"timeBodyAccmeanY"	-0.0186477624716216
26	"WALKING"	"timeBodyAccmeanY"	-0.0154259586949153
27	"WALKING"	"timeBodyAccmeanY"	-0.0166478783221912
28	"WALKING"	"timeBodyAccmeanY"	-0.0156759722981481
29	"WALKING"	"timeBodyAccmeanY"	-0.0162915600588679
30	"WALKING"	"timeBodyAccmeanY"	-0.0175880385730769
2	"WALKING"	"timeBodyAccmeanY"	-0.0185949199145763
4	"WALKING"	"timeBodyAccmeanY"	-0.0148399475341667
9	"WALKING"	"timeBodyAccmeanY"	-0.0180891971284423
10	"WALKING"	"timeBodyAccmeanY"	-0.017022351190566
12	"WALKING"	"timeBodyAccmeanY"	-0.015560927606
13	"WALKING"	"timeBodyAccmeanY"	-0.0185660651947368
18	"WALKING"	"timeBodyAccmeanY"	-0.0178023631866071
20	"WALKING"	"timeBodyAccmeanY"	-0.021199992245098
24	"WALKING"	"timeBodyAccmeanY"	-0.0225446400534483
1	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0239531492643396
3	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0324109410555932
5	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0325269755153191
6	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0272425385070588
7	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0275639005607843
8	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0282415136341463
11	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0303157822055556
14	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0204388180024074
15	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0287523860708333
16	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0143654945011765
17	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0228645614308333
19	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0303986615775
21	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0237218695148936
22	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0268622561133333
23	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0323844029237255
25	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0269863524264615
26	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0281633797398182
27	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0200953324078431
28	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0279443943478431
29	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0299465312326531
30	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0253311698786154
2	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0214121132045833
4	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0319804295729615
9	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0195101099975714
10	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0143854920340426
12	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0263574903403846
13	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0277392253910909
18	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0222060684378914
20	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0282258047588235
24	"WALKING_UPSTAIRS"	"timeBodyAccmeanY"	-0.0251979434569492
1	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.00991850461020408
3	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0193554079328571
5	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.00850107533191489
6	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.019536840063125
7	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0166332372978723
8	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0211058674973684
11	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0178097721219565
14	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0200141413657778
15	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.00563047804309524
16	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0183898583787234
17	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0167359404347826
19	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0145942275069487
21	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0173195390157778
22	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0197999371686389
23	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0162111457238889
25	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0210170522987931
26	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.01262580966778
27	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0135564467159091
28	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0220230465913043
29	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.01494121505625
30	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0174383900204839
2	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0226614158361702
4	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.00980200850666667
9	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0203994269075476
10	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0200050770710526
12	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.018084266865793
13	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0143723839108511
18	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0168666920221818
20	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.00964120773155555
24	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanY"	-0.0145730348310909
1	"SITTING"	"timeBodyAccmeanY"	-0.00130828765170213
3	"SITTING"	"timeBodyAccmeanY"	-0.00350299841730769
5	"SITTING"	"timeBodyAccmeanY"	-0.00990083527045455
6	"SITTING"	"timeBodyAccmeanY"	-0.0145911615290909
7	"SITTING"	"timeBodyAccmeanY"	-0.01461097580375
8	"SITTING"	"timeBodyAccmeanY"	-0.00672550621304348
11	"SITTING"	"timeBodyAccmeanY"	-0.0149195616754717
14	"SITTING"	"timeBodyAccmeanY"	-0.00870565463888889
15	"SITTING"	"timeBodyAccmeanY"	-0.0117188472271186
16	"SITTING"	"timeBodyAccmeanY"	-0.0102497939956522
17	"SITTING"	"timeBodyAccmeanY"	-0.014156274084375
19	"SITTING"	"timeBodyAccmeanY"	-0.016739260030137
21	"SITTING"	"timeBodyAccmeanY"	-0.0144009705494118
22	"SITTING"	"timeBodyAccmeanY"	-0.0123468446419355
23	"SITTING"	"timeBodyAccmeanY"	-0.0133945015676471
25	"SITTING"	"timeBodyAccmeanY"	-0.0147696808030769
26	"SITTING"	"timeBodyAccmeanY"	-0.00713364541358974
27	"SITTING"	"timeBodyAccmeanY"	-0.0155269799285714
28	"SITTING"	"timeBodyAccmeanY"	-0.0185404441258333
29	"SITTING"	"timeBodyAccmeanY"	-0.016630680375
30	"SITTING"	"timeBodyAccmeanY"	-0.00804731295322581
2	"SITTING"	"timeBodyAccmeanY"	-0.0156879937282609
4	"SITTING"	"timeBodyAccmeanY"	-0.007163065158
9	"SITTING"	"timeBodyAccmeanY"	-0.02701677698
10	"SITTING"	"timeBodyAccmeanY"	-0.015042681852037
12	"SITTING"	"timeBodyAccmeanY"	-0.0157892988523529
13	"SITTING"	"timeBodyAccmeanY"	-0.00587732936326531
18	"SITTING"	"timeBodyAccmeanY"	-0.0128691279736842
20	"SITTING"	"timeBodyAccmeanY"	-0.0147229305131818
24	"SITTING"	"timeBodyAccmeanY"	-0.0131255097938235
1	"STANDING"	"timeBodyAccmeanY"	-0.0161375901037736
3	"STANDING"	"timeBodyAccmeanY"	-0.0143376555065574
5	"STANDING"	"timeBodyAccmeanY"	-0.00700418554517857
6	"STANDING"	"timeBodyAccmeanY"	-0.0181236327175439
7	"STANDING"	"timeBodyAccmeanY"	-0.0145740341037736
8	"STANDING"	"timeBodyAccmeanY"	-0.0148113067148148
11	"STANDING"	"timeBodyAccmeanY"	-0.0171990886595745
14	"STANDING"	"timeBodyAccmeanY"	-0.01520781344
15	"STANDING"	"timeBodyAccmeanY"	-0.0183516360396226
16	"STANDING"	"timeBodyAccmeanY"	-0.0165999672935897
17	"STANDING"	"timeBodyAccmeanY"	-0.0174120064169231
19	"STANDING"	"timeBodyAccmeanY"	-0.0154244056945205
21	"STANDING"	"timeBodyAccmeanY"	-0.0167084730205618
22	"STANDING"	"timeBodyAccmeanY"	-0.0158563207496825
23	"STANDING"	"timeBodyAccmeanY"	-0.0177475547867647
25	"STANDING"	"timeBodyAccmeanY"	-0.0163569730274324
26	"STANDING"	"timeBodyAccmeanY"	-0.0166608306652703
27	"STANDING"	"timeBodyAccmeanY"	-0.016593236445
28	"STANDING"	"timeBodyAccmeanY"	-0.0172635124672152
29	"STANDING"	"timeBodyAccmeanY"	-0.0172605869061538
30	"STANDING"	"timeBodyAccmeanY"	-0.0170163887813559
2	"STANDING"	"timeBodyAccmeanY"	-0.0184208270166667
4	"STANDING"	"timeBodyAccmeanY"	-0.00948911098553571
9	"STANDING"	"timeBodyAccmeanY"	-0.0200454954022222
10	"STANDING"	"timeBodyAccmeanY"	-0.0155418603409091
12	"STANDING"	"timeBodyAccmeanY"	-0.0169002543196721
13	"STANDING"	"timeBodyAccmeanY"	-0.0167891993964912
18	"STANDING"	"timeBodyAccmeanY"	-0.0166353518150685
20	"STANDING"	"timeBodyAccmeanY"	-0.0180695049161644
24	"STANDING"	"timeBodyAccmeanY"	-0.0144785340348986
1	"LAYING"	"timeBodyAccmeanY"	-0.0405139534294
3	"LAYING"	"timeBodyAccmeanY"	-0.0189556785048387
5	"LAYING"	"timeBodyAccmeanY"	-0.0183042123269231
6	"LAYING"	"timeBodyAccmeanY"	-0.0102529170561404
7	"LAYING"	"timeBodyAccmeanY"	-0.0204411516884615
8	"LAYING"	"timeBodyAccmeanY"	-0.0212281733881481
11	"LAYING"	"timeBodyAccmeanY"	-0.0176598052315789
14	"LAYING"	"timeBodyAccmeanY"	-0.0113424652490196
15	"LAYING"	"timeBodyAccmeanY"	-0.0166296542054167
16	"LAYING"	"timeBodyAccmeanY"	-0.0166103510562857
17	"LAYING"	"timeBodyAccmeanY"	-0.0168462006729577
19	"LAYING"	"timeBodyAccmeanY"	-0.0171426864421687
21	"LAYING"	"timeBodyAccmeanY"	-0.0184233048415556
22	"LAYING"	"timeBodyAccmeanY"	-0.0142629864502778
23	"LAYING"	"timeBodyAccmeanY"	-0.0216553835833333
25	"LAYING"	"timeBodyAccmeanY"	-0.0188943663671233
26	"LAYING"	"timeBodyAccmeanY"	-0.0191895728026316
27	"LAYING"	"timeBodyAccmeanY"	-0.0179867611216216
28	"LAYING"	"timeBodyAccmeanY"	-0.0167537858225
29	"LAYING"	"timeBodyAccmeanY"	-0.0171965484202899
30	"LAYING"	"timeBodyAccmeanY"	-0.0194494098614286
2	"LAYING"	"timeBodyAccmeanY"	-0.0181587397583333
4	"LAYING"	"timeBodyAccmeanY"	-0.0150031841055556
9	"LAYING"	"timeBodyAccmeanY"	-0.020526821662
10	"LAYING"	"timeBodyAccmeanY"	-0.024294484137931
12	"LAYING"	"timeBodyAccmeanY"	-0.0175203917146667
13	"LAYING"	"timeBodyAccmeanY"	-0.020440454366129
18	"LAYING"	"timeBodyAccmeanY"	-0.0173937684615385
20	"LAYING"	"timeBodyAccmeanY"	-0.0144406281132353
24	"LAYING"	"timeBodyAccmeanY"	-0.0173555210111111
1	"WALKING"	"timeBodyAccmeanZ"	-0.111148103547368
3	"WALKING"	"timeBodyAccmeanZ"	-0.112674859827586
5	"WALKING"	"timeBodyAccmeanZ"	-0.107741776464286
6	"WALKING"	"timeBodyAccmeanZ"	-0.110303165877193
7	"WALKING"	"timeBodyAccmeanZ"	-0.110912234947368
8	"WALKING"	"timeBodyAccmeanZ"	-0.107252090833333
11	"WALKING"	"timeBodyAccmeanZ"	-0.106096304033898
14	"WALKING"	"timeBodyAccmeanZ"	-0.106756369135593
15	"WALKING"	"timeBodyAccmeanZ"	-0.107621819518519
16	"WALKING"	"timeBodyAccmeanZ"	-0.108804049803922
17	"WALKING"	"timeBodyAccmeanZ"	-0.109792122032787
19	"WALKING"	"timeBodyAccmeanZ"	-0.122736673192308
21	"WALKING"	"timeBodyAccmeanZ"	-0.104319332403846
22	"WALKING"	"timeBodyAccmeanZ"	-0.107112510934783
23	"WALKING"	"timeBodyAccmeanZ"	-0.113382994084746
25	"WALKING"	"timeBodyAccmeanZ"	-0.108737636297297
26	"WALKING"	"timeBodyAccmeanZ"	-0.108927011474576
27	"WALKING"	"timeBodyAccmeanZ"	-0.112822289263158
28	"WALKING"	"timeBodyAccmeanZ"	-0.103714705396296
29	"WALKING"	"timeBodyAccmeanZ"	-0.106632427301887
30	"WALKING"	"timeBodyAccmeanZ"	-0.0986247068969231
2	"WALKING"	"timeBodyAccmeanZ"	-0.105500357966102
4	"WALKING"	"timeBodyAccmeanZ"	-0.11140306485
9	"WALKING"	"timeBodyAccmeanZ"	-0.110820512307692
10	"WALKING"	"timeBodyAccmeanZ"	-0.109057512132075
12	"WALKING"	"timeBodyAccmeanZ"	-0.10316110632
13	"WALKING"	"timeBodyAccmeanZ"	-0.111431456192982
18	"WALKING"	"timeBodyAccmeanZ"	-0.104218315464286
20	"WALKING"	"timeBodyAccmeanZ"	-0.113539477098039
24	"WALKING"	"timeBodyAccmeanZ"	-0.110595952913793
1	"WALKING_UPSTAIRS"	"timeBodyAccmeanZ"	-0.0973020020943396
3	"WALKING_UPSTAIRS"	"timeBodyAccmeanZ"	-0.110064863437288
5	"WALKING_UPSTAIRS"	"timeBodyAccmeanZ"	-0.107471453914894
6	"WALKING_UPSTAIRS"	"timeBodyAccmeanZ"	-0.122082438784314
7	"WALKING_UPSTAIRS"	"timeBodyAccmeanZ"	-0.143769688803922
8	"WALKING_UPSTAIRS"	"timeBodyAccmeanZ"	-0.11512211995122
11	"WALKING_UPSTAIRS"	"timeBodyAccmeanZ"	-0.106797216481481
